"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"Q1",1,0.167523031126424,0.228325891398813,0.224316217496153,0.164875266457774,0.193744963337311,0.190913739791803,0.069913986724192,0.207763932268547,0.147286489414748
"Q2",0.167523031126424,1,0.160412707165351,0.173616034348253,0.177759003006439,0.0700632604696077,0.0617864391420716,0.0881649239345914,0.147486195979809,0.151762174640309
"Q3",0.228325891398813,0.160412707165351,1,0.128913907411877,0.0926099410691191,0.138985666456502,0.183130527667665,0.0976491003610898,0.120313410461181,0.0964373467413132
"Q4",0.224316217496153,0.173616034348253,0.128913907411877,1,0.151952206957394,0.0973740298466701,0.10495303897584,0.0669709698332405,0.180541876750758,0.166809148505032
"Q5",0.164875266457774,0.177759003006439,0.0926099410691191,0.151952206957394,1,0.102659141884924,0.0934582945803233,0.0838931478571093,0.108636866251064,0.192086701408182
"Q6",0.193744963337311,0.0700632604696077,0.138985666456502,0.0973740298466701,0.102659141884924,1,0.182677735755519,0.0756439745358844,0.100031950832832,0.0555166386513613
"Q7",0.190913739791803,0.0617864391420716,0.183130527667665,0.10495303897584,0.0934582945803233,0.182677735755519,1,0.0786490061872906,0.133741386693823,0.0289900666572092
"Q8",0.069913986724192,0.0881649239345914,0.0976491003610898,0.0669709698332405,0.0838931478571093,0.0756439745358844,0.0786490061872906,1,0.0765684695562907,0.0587554649644687
"Q9",0.207763932268547,0.147486195979809,0.120313410461181,0.180541876750758,0.108636866251064,0.100031950832832,0.133741386693823,0.0765684695562907,1,0.101042792930959
"Q10",0.147286489414748,0.151762174640309,0.0964373467413132,0.166809148505032,0.192086701408182,0.0555166386513613,0.0289900666572092,0.0587554649644687,0.101042792930959,1
