"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"Q1",NA,0.000803169843649604,0.000803169843649604,0.000803169843649604,0.000803169843649604,0.000803169843649604,0.000803169843649604,0.13099700149925,0.000803169843649604,0.000803169843649604
"Q2",0.000803169843649604,NA,0.000803169843649604,0.000803169843649604,0.000803169843649604,0.123976473301811,0.29824373527522,0.00661433988887909,0.000803169843649604,0.000803169843649604
"Q3",0.000803169843649604,0.000803169843649604,NA,0.000803169843649604,0.00545181954477307,0.000803169843649604,0.000803169843649604,0.00224887556221889,0.000803169843649604,0.00351386806596702
"Q4",0.000803169843649604,0.000803169843649604,0.000803169843649604,NA,0.000803169843649604,0.000803169843649604,0.000803169843649604,0.156872783120635,0.000803169843649604,0.000803169843649604
"Q5",0.000803169843649604,0.000803169843649604,0.00545181954477307,0.000803169843649604,NA,0.000803169843649604,0.00351386806596702,0.0167059327479118,0.000803169843649604,0.000803169843649604
"Q6",0.000803169843649604,0.123976473301811,0.000803169843649604,0.000803169843649604,0.000803169843649604,NA,0.000803169843649604,0.0615481732817802,0.00224887556221889,0.436997410385716
"Q7",0.000803169843649604,0.29824373527522,0.000803169843649604,0.000803169843649604,0.00351386806596702,0.000803169843649604,NA,0.0424787606196902,0.000803169843649604,0.983508245877061
"Q8",0.13099700149925,0.00661433988887909,0.00224887556221889,0.156872783120635,0.0167059327479118,0.0615481732817802,0.0424787606196902,NA,0.0553101827464646,0.358774101321432
"Q9",0.000803169843649604,0.000803169843649604,0.000803169843649604,0.000803169843649604,0.000803169843649604,0.00224887556221889,0.000803169843649604,0.0553101827464646,NA,0.000803169843649604
"Q10",0.000803169843649604,0.000803169843649604,0.00351386806596702,0.000803169843649604,0.000803169843649604,0.436997410385716,0.983508245877061,0.358774101321432,0.000803169843649604,NA
